Date,TQQQ,QQQ,QQQ성장추세,Signal,매매평가,주식잔고,평가금,매매금,Limit,NEW평가금,NEW매매금,NEW매수량,NEW수량,CASH,Total,현금비중,MDD,Note
2010-02-12,0.22,43.76,43.76,Initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,"초기 투자금 $20,000.00 설정"
2010-02-19,0.23,44.83,44.83,Normal (중립),-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-02-26,0.23,44.76,44.95,Normal (중립),-0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-03-05,0.26,46.44,46.14,Normal (중립),0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-03-12,0.27,47.36,47.2,Normal (중립),0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-03-19,0.28,47.49,47.79,Normal (중립),-0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-03-26,0.29,48.0,48.34,Normal (중립),-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-04-02,0.29,48.16,48.72,Normal (중립),-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-04-09,0.3,49.03,49.27,Normal (중립),-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-04-16,0.31,49.53,49.81,Normal (중립),-0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-04-23,0.33,50.52,50.5,Normal (중립),0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-04-30,0.31,49.24,50.6,Normal (중립),-2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-05-07,0.24,45.41,49.54,Under (저평가),-8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-05-14,0.26,46.93,49.15,Normal (중립),-4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-05-21,0.22,44.84,48.3,Under (저평가),-7.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-05-28,0.24,45.6,47.81,Normal (중립),-4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-06-04,0.23,45.09,47.3,Normal (중립),-4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-06-11,0.23,45.5,46.97,Normal (중립),-3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-06-18,0.26,47.0,46.99,Normal (중립),0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-06-25,0.23,45.27,46.69,Normal (중립),-3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-07-02,0.19,42.47,45.91,Under (저평가),-7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-07-09,0.22,44.62,45.64,Normal (중립),-2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-07-16,0.21,44.34,45.36,Normal (중립),-2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-07-23,0.24,46.06,45.4,Normal (중립),1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-07-30,0.23,45.81,45.4,Normal (중립),0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-08-06,0.25,46.76,45.53,Normal (중립),2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-08-13,0.22,44.72,45.36,Normal (중립),-1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-08-20,0.22,44.92,45.24,Normal (중립),-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-08-27,0.21,44.07,45.03,Normal (중립),-2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-09-03,0.23,46.01,45.08,Normal (중립),2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-09-10,0.24,46.6,45.21,Normal (중립),3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-09-17,0.27,47.99,45.48,Over (고평가),5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-09-24,0.29,49.66,45.9,Over (고평가),8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-10-01,0.28,49.01,46.22,Over (고평가),6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-10-08,0.3,49.75,46.59,Over (고평가),6.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-10-15,0.33,51.49,47.09,Over (고평가),9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-10-22,0.33,51.64,47.57,Over (고평가),8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-10-29,0.34,52.18,48.06,Over (고평가),8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-11-05,0.37,53.67,48.65,Over (고평가),10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-11-12,0.35,52.51,49.09,Over (고평가),6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-11-19,0.34,52.47,49.49,Over (고평가),6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-11-26,0.35,52.77,49.88,Over (고평가),5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-12-03,0.37,53.87,50.34,Over (고평가),7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-12-10,0.38,54.49,50.82,Over (고평가),7.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-12-17,0.39,54.52,51.27,Over (고평가),6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-12-24,0.39,54.74,51.7,Over (고평가),5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2010-12-31,0.39,54.46,52.08,Normal (중립),4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-01-07,0.41,55.87,52.55,Over (고평가),6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-01-14,0.44,57.0,53.06,Over (고평가),7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-01-21,0.41,55.68,53.45,Normal (중립),4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-01-28,0.41,55.73,53.81,Normal (중립),3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-02-04,0.45,57.38,54.27,Over (고평가),5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-02-11,0.47,58.44,54.78,Over (고평가),6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-02-18,0.48,58.73,55.27,Over (고평가),6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-02-25,0.45,57.65,55.67,Normal (중립),3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-03-04,0.46,57.97,56.06,Normal (중립),3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-03-11,0.42,56.49,56.33,Normal (중립),0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-03-18,0.38,54.45,56.44,Normal (중립),-3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-03-25,0.43,56.84,56.7,Normal (중립),0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-04-01,0.44,57.46,56.99,Normal (중립),0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-04-08,0.43,56.95,57.23,Normal (중립),-0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-04-15,0.42,56.65,57.43,Normal (중립),-1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-04-22,0.46,58.34,57.73,Normal (중립),1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-04-29,0.48,59.08,58.06,Normal (중립),1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-05-06,0.47,58.47,58.33,Normal (중립),0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-05-13,0.46,58.41,58.59,Normal (중립),-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-05-20,0.45,57.77,58.79,Normal (중립),-1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-05-27,0.44,57.43,58.96,Normal (중립),-2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-06-03,0.41,56.35,59.06,Normal (중립),-4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-06-10,0.38,54.64,59.04,Under (저평가),-7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-06-17,0.36,53.79,58.98,Under (저평가),-8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-06-24,0.37,54.38,58.95,Under (저평가),-7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-07-01,0.45,57.91,59.13,Normal (중립),-2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
2011-07-08,0.47,59.03,59.35,Normal (중립),-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,20000.0,100.0,0.0,Hold
